YEAR,TOTAL_POP,GEOLEV2,EDU_LESS_PRIM_POP,EDU_PRIM_POP,EDU_SEC_POP,EDU_UNI_POP,EDU_UK_POP,EDU_LESS_PRIM_PCT,EDU_PRIM_PCT,EDU_SEC_PCT,EDU_UNI_PCT,EDU_UK_PCT
2010,111960139,484001001,242350,345827,131740,75069,4688,30.31,43.25,16.47,9.39,0.59
2010,111960139,484001002,17224,20952,3072,370,990,40.42,49.17,7.21,0.87,2.32
2010,111960139,484001003,22043,23085,3416,1048,304,44.18,46.27,6.85,2.1,0.61
2010,111960139,484001004,5286,6349,1404,207,148,39.47,47.4,10.48,1.55,1.1
2010,111960139,484001005,34131,42338,10905,4361,1171,36.74,45.57,11.74,4.69,1.26
2010,111960139,484001006,31529,36692,9848,3904,736,38.12,44.36,11.91,4.72,0.89
2010,111960139,484001007,2449,3451,634,128,26,36.62,51.6,9.48,1.91,0.39
2010,111960139,484001008,7797,8794,1726,206,130,41.8,47.15,9.25,1.1,0.7
2010,111960139,484002001,151252,188784,63848,28966,4677,34.57,43.15,14.59,6.62,1.07
2010,111960139,484002002,246948,404010,150394,73693,8131,27.96,45.75,17.03,8.34,0.92
2010,111960139,484002004,473975,768785,268307,98327,22643,29.04,47.11,16.44,6.02,1.39
2010,111960139,484003001,171631,253420,110629,58457,4424,28.67,42.34,18.48,9.77,0.74
2010,111960139,484004001,19939,17320,9075,3047,179,40.23,34.95,18.31,6.15,0.36
2010,111960139,484004003,243094,278873,101660,50291,4690,35.82,41.09,14.98,7.41,0.69
2010,111960139,484004004,9473,9453,4646,1162,91,38.16,38.08,18.72,4.68,0.37
2010,111960139,484004005,3984,3827,813,360,69,44.01,42.27,8.98,3.98,0.76
2010,111960139,484004006,3906,3492,1360,269,56,43.0,38.45,14.97,2.96,0.62
2010,111960139,484005001,315,597,76,27,11,30.7,58.19,7.41,2.63,1.07
2010,111960139,484005002,40383,66131,14501,5173,868,31.78,52.05,11.41,4.07,0.68
2010,111960139,484005003,6075,11824,2230,952,137,28.63,55.73,10.51,4.49,0.65
2010,111960139,484005004,8415,10957,1711,345,105,39.08,50.88,7.95,1.6,0.49
2010,111960139,484005005,716,777,135,22,8,43.18,46.86,8.14,1.33,0.48
2010,111960139,484005006,6570,12690,3390,834,234,27.7,53.5,14.29,3.52,0.99
2010,111960139,484005007,4563,5303,1122,488,54,39.58,45.99,9.73,4.23,0.47
2010,111960139,484005008,1017,1459,194,21,25,37.44,53.72,7.14,0.77,0.92
2010,111960139,484005009,19484,25722,5684,1819,469,36.64,48.37,10.69,3.42,0.88
2010,111960139,484005010,19205,36563,9999,3322,1255,27.3,51.98,14.21,4.72,1.78
2010,111960139,484005011,5048,5856,652,132,84,42.88,49.75,5.54,1.12,0.71
2010,111960139,484005012,771,910,102,26,44,41.61,49.11,5.5,1.4,2.37
2010,111960139,484005013,623,756,108,14,4,41.4,50.23,7.18,0.93,0.27
2010,111960139,484005014,3729,4402,442,66,141,42.47,50.14,5.03,0.75,1.61
2010,111960139,484005015,538,847,102,19,11,35.46,55.83,6.72,1.25,0.73
2010,111960139,484005016,569,927,184,47,17,32.63,53.15,10.55,2.69,0.97
2010,111960139,484005017,38841,49038,9986,2351,594,38.53,48.64,9.91,2.33,0.59
2010,111960139,484005018,51260,94233,35898,21206,1578,25.11,46.15,17.58,10.39,0.77
2010,111960139,484005019,2768,4697,900,354,63,31.52,53.48,10.25,4.03,0.72
2010,111960139,484005020,21074,32604,6788,2238,1138,33.01,51.07,10.63,3.51,1.78
2010,111960139,484005021,1912,3172,654,154,20,32.34,53.65,11.06,2.6,0.34
2010,111960139,484005022,8671,13321,2346,894,95,34.24,52.6,9.26,3.53,0.38
2010,111960139,484005023,4346,5324,848,120,138,40.33,49.41,7.87,1.11,1.28
2010,111960139,484005024,14039,21376,5612,1489,274,32.81,49.96,13.12,3.48,0.64
2010,111960139,484005025,41196,73326,17720,8768,1778,28.85,51.35,12.41,6.14,1.25
2010,111960139,484005026,1283,1727,182,35,54,39.1,52.64,5.55,1.07,1.65
2010,111960139,484005027,22382,33314,8067,6166,327,31.86,47.42,11.48,8.78,0.47
2010,111960139,484005028,15157,27864,8066,3765,597,27.34,50.25,14.55,6.79,1.08
2010,111960139,484005029,728,1194,193,48,30,33.2,54.45,8.8,2.19,1.37
2010,111960139,484005030,185250,301776,111514,76672,6212,27.19,44.29,16.36,11.25,0.91
2010,111960139,484005031,5412,10561,3050,1065,220,26.65,52.0,15.02,5.24,1.08
2010,111960139,484005032,10017,20616,4972,3231,605,25.4,52.27,12.61,8.19,1.53
2010,111960139,484005033,37325,45296,9643,2632,711,39.04,47.38,10.09,2.75,0.74
2010,111960139,484005034,1816,2988,576,106,86,32.59,53.63,10.34,1.9,1.54
2010,111960139,484005035,163658,270336,96133,69701,6669,26.98,44.57,15.85,11.49,1.1
2010,111960139,484005036,8647,9332,1242,212,106,44.26,47.76,6.36,1.09,0.54
2010,111960139,484005037,1766,2910,263,92,32,34.88,57.48,5.19,1.82,0.63
2010,111960139,484005038,5152,6291,1020,336,95,39.96,48.79,7.91,2.61,0.74
2010,111960139,484006001,60891,82155,25122,11407,661,33.78,45.58,13.94,6.33,0.37
2010,111960139,484006002,37055,57209,25158,17491,603,26.95,41.6,18.29,12.72,0.44
2010,111960139,484006003,7500,9259,1928,705,63,38.55,47.59,9.91,3.62,0.32
2010,111960139,484006004,7615,8316,1559,451,72,42.28,46.17,8.65,2.5,0.4
2010,111960139,484006005,9027,12102,2985,1305,124,35.34,47.38,11.69,5.11,0.49
2010,111960139,484006006,2645,2393,540,113,29,46.24,41.84,9.44,1.98,0.51
2010,111960139,484006007,3294,4050,819,117,96,39.33,48.35,9.78,1.4,1.15
2010,111960139,484006008,46313,43269,10014,4076,625,44.4,41.49,9.6,3.91,0.6
2010,111960139,484006009,27089,43547,24654,17632,452,23.89,38.41,21.75,15.55,0.4
2010,111960139,484007001,8754,6147,1087,171,55,53.99,37.91,6.7,1.05,0.34
2010,111960139,484007002,52134,41722,10572,5128,577,47.34,37.88,9.6,4.66,0.52
2010,111960139,484007003,13440,9727,2190,328,75,52.17,37.76,8.5,1.27,0.29
2010,111960139,484007004,20286,6916,963,328,119,70.9,24.17,3.37,1.15,0.42
2010,111960139,484007005,12530,6030,1030,45,165,63.28,30.45,5.2,0.23,0.83
2010,111960139,484007006,15318,10665,1406,341,291,54.67,38.06,5.02,1.22,1.04
2010,111960139,484007007,5384,2127,164,23,29,69.68,27.53,2.12,0.3,0.38
2010,111960139,484007008,18237,11494,1554,292,273,57.26,36.09,4.88,0.92,0.86
2010,111960139,484007009,16701,15245,4636,1271,234,43.85,40.03,12.17,3.34,0.61
2010,111960139,484007010,4648,2962,270,8,42,58.61,37.35,3.4,0.1,0.53
2010,111960139,484007011,10299,7760,397,102,189,54.94,41.39,2.12,0.54,1.01
2010,111960139,484007012,21783,13483,3034,1259,280,54.68,33.84,7.62,3.16,0.7
2010,111960139,484007013,13730,9430,2060,875,120,52.37,35.97,7.86,3.34,0.46
2010,111960139,484007014,10525,5578,668,22,130,62.19,32.96,3.95,0.13,0.77
2010,111960139,484007015,19093,16072,5009,1369,104,45.84,38.59,12.03,3.29,0.25
2010,111960139,484007016,7389,5872,1305,429,140,48.82,38.8,8.62,2.83,0.93
2010,111960139,484007017,35020,26019,6762,2692,686,49.2,36.55,9.5,3.78,0.96
2010,111960139,484007018,3969,2321,338,118,22,58.64,34.29,4.99,1.74,0.33
2010,111960139,484007019,58847,50471,13356,7987,597,44.83,38.45,10.18,6.08,0.45
