GEOLEV2,OWNED_HH,UNOWNED_HH,OWNED_UK_HH,OWNED_PCT,UNOWNED_PCT,OWNED_UK_PCT
484001001,636122,211021,1454,74.96,24.87,0.17
484001002,41405,4474,72,90.11,9.74,0.16
484001003,38008,15134,0,71.52,28.48,0.0
484001004,12720,1559,23,88.94,10.9,0.16
484001005,77409,22270,471,77.29,22.24,0.47
484001006,70461,17970,479,79.25,20.21,0.54
484001007,6048,1106,6,84.47,15.45,0.08
484001008,17386,2637,25,86.72,13.15,0.12
484002001,326543,126830,1800,71.74,27.86,0.4
484002002,777030,147815,2239,83.81,15.94,0.24
484002004,1175883,529566,11242,68.5,30.85,0.65
484003001,462053,167167,2518,73.14,26.46,0.4
484004001,49128,3649,143,92.83,6.9,0.27
484004003,612861,103978,1397,85.33,14.48,0.19
484004004,25452,1013,45,96.01,3.82,0.17
484004005,7871,1713,42,81.77,17.8,0.44
484004006,8966,609,0,93.64,6.36,0.0
484005001,893,172,0,83.85,16.15,0.0
484005002,109234,26206,35,80.63,19.34,0.03
484005003,17110,5110,30,76.9,22.97,0.13
484005004,17360,5518,0,75.88,24.12,0.0
484005005,1211,526,0,69.72,30.28,0.0
484005006,19848,5358,12,78.71,21.25,0.05
484005007,8879,3281,16,72.92,26.95,0.13
484005008,2378,511,0,82.31,17.69,0.0
484005009,51324,5266,79,90.57,9.29,0.14
484005010,57153,17088,190,76.79,22.96,0.26
484005011,10560,1880,12,84.81,15.1,0.1
484005012,1213,727,6,62.33,37.36,0.31
484005013,1220,416,5,74.34,25.35,0.3
484005014,8002,1332,3,85.7,14.27,0.03
484005015,1332,251,8,83.72,15.78,0.5
484005016,1394,411,14,76.64,22.59,0.77
484005017,91449,15797,374,84.97,14.68,0.35
484005018,174333,41580,513,80.55,19.21,0.24
484005019,6712,2580,0,72.23,27.77,0.0
484005020,48023,19633,475,70.49,28.82,0.7
484005021,5024,1172,2,81.06,18.91,0.03
484005022,20322,6816,0,74.88,25.12,0.0
484005023,7601,3930,20,65.8,34.02,0.17
484005024,36473,8672,114,80.59,19.16,0.25
484005025,116807,34905,36,76.97,23.0,0.02
484005026,2820,616,31,81.34,17.77,0.89
484005027,61148,14215,192,80.93,18.81,0.25
484005028,42480,16464,336,71.66,27.77,0.57
484005029,1885,413,11,81.64,17.89,0.48
484005030,582554,134455,4781,80.71,18.63,0.66
484005031,16293,5235,25,75.6,24.29,0.12
484005032,32714,8714,22,78.92,21.02,0.05
484005033,87879,13618,403,86.24,13.36,0.4
484005034,4008,1930,16,67.32,32.42,0.27
484005035,519183,115003,3930,81.36,18.02,0.62
484005036,18730,2130,18,89.71,10.2,0.09
484005037,3606,1758,20,66.98,32.65,0.37
484005038,8758,4705,167,64.26,34.52,1.23
484006001,133797,55078,752,70.56,29.05,0.4
484006002,104478,39599,62,72.48,27.47,0.04
484006003,16792,3688,30,81.87,17.98,0.15
484006004,13618,5302,46,71.8,27.96,0.24
484006005,20273,6697,7,75.15,24.82,0.03
484006006,5014,1011,10,83.08,16.75,0.17
484006007,7101,1770,6,79.99,19.94,0.07
484006008,70818,41153,114,63.18,36.72,0.1
484006009,84093,35457,89,70.29,29.64,0.07
484007001,14791,2497,126,84.94,14.34,0.72
484007002,95220,22316,125,80.93,18.97,0.11
484007003,22105,5261,30,80.69,19.2,0.11
484007004,30079,637,130,97.51,2.07,0.42
484007005,20880,455,60,97.59,2.13,0.28
484007006,28890,1163,154,95.64,3.85,0.51
484007007,8189,103,68,97.95,1.23,0.81
484007008,31174,3033,158,90.71,8.83,0.46
484007009,28442,11613,0,71.01,28.99,0.0
484007010,8550,46,26,99.16,0.53,0.3
484007011,19795,311,108,97.93,1.54,0.53
484007012,32897,9798,223,76.65,22.83,0.52
484007013,26920,1805,185,93.12,6.24,0.64
484007014,18104,277,36,98.3,1.5,0.2
484007015,36881,7453,44,83.11,16.79,0.1
484007016,14202,1525,135,89.53,9.61,0.85
484007017,58755,17155,0,77.4,22.6,0.0
484007018,7039,309,26,95.46,4.19,0.35
484007019,110669,29223,396,78.89,20.83,0.28
484007020,40037,3560,82,91.66,8.15,0.19
484007021,18175,2490,50,87.74,12.02,0.24
484007022,13746,27,202,98.36,0.19,1.45
484007023,75359,846,305,98.5,1.11,0.4
484007024,10661,15,78,99.14,0.14,0.73
484007025,8014,285,9,96.46,3.43,0.11
484007026,39495,349,308,98.36,0.87,0.77
484007028,3829,465,5,89.07,10.82,0.12
484007029,4610,646,14,87.48,12.26,0.27
484007030,29443,1840,25,94.04,5.88,0.08
484007031,106826,1525,899,97.78,1.4,0.82
484007032,25601,4435,120,84.9,14.71,0.4
484007033,6850,121,29,97.86,1.73,0.41
484007034,60530,7094,88,89.39,10.48,0.13
484007035,9893,2291,68,80.75,18.7,0.56
484007036,9320,124,94,97.71,1.3,0.99
484007037,28232,4400,35,86.42,13.47,0.11
484007038,20923,131,200,98.44,0.62,0.94
484007039,21760,220,165,98.26,0.99,0.75
484007040,36980,14286,200,71.85,27.76,0.39
484007041,42249,332,110,98.96,0.78,0.26
484007042,10316,676,53,93.4,6.12,0.48
484007043,8733,890,112,89.71,9.14,1.15
484007044,23793,861,69,96.24,3.48,0.28
484007045,5077,381,17,92.73,6.96,0.31
484007046,33908,4469,134,88.05,11.6,0.35
484007047,18065,506,71,96.9,2.71,0.38
484007048,16206,6101,69,72.43,27.27,0.31
484007049,21916,159,270,98.08,0.71,1.21
484007050,4685,740,10,86.2,13.62,0.18
484007051,33908,9267,50,78.45,21.44,0.12
484007052,116214,3887,938,96.01,3.21,0.77
484007053,7723,176,56,97.08,2.21,0.7
484007054,23639,4273,30,84.6,15.29,0.11
484007055,3773,1114,31,76.72,22.65,0.63
484007056,10980,78,86,98.53,0.7,0.77
484007057,63328,6112,216,90.92,8.77,0.31
484007058,3994,183,23,95.1,4.36,0.55
484007059,236003,15272,857,93.6,6.06,0.34
484007060,11470,359,36,96.67,3.03,0.3
484007061,101187,22839,341,81.36,18.36,0.27
484007062,15177,1813,20,89.22,10.66,0.12
484007063,3071,707,0,81.29,18.71,0.0
484007064,41217,207,612,98.05,0.49,1.46
484007065,91977,18945,348,82.66,17.03,0.31
484007066,19668,286,180,97.69,1.42,0.89
484007067,10417,352,61,96.19,3.25,0.56
484007068,22275,6599,28,77.07,22.83,0.1
484007069,39192,10428,325,78.47,20.88,0.65
484007070,14611,171,72,98.36,1.15,0.48
484007071,24143,3775,78,86.24,13.48,0.28
484007072,47052,3762,52,92.5,7.4,0.1
484007074,30611,8492,196,77.89,21.61,0.5
484007075,23588,2814,198,88.68,10.58,0.74
484007076,26545,213,211,98.43,0.79,0.78
484007077,53934,964,477,97.4,1.74,0.86
484007078,144754,41240,364,77.68,22.13,0.2
484007079,30864,2797,62,91.52,8.29,0.18
484007080,34673,1234,119,96.24,3.43,0.33
484007081,44098,1690,143,96.01,3.68,0.31
484007082,11639,133,200,97.22,1.11,1.67
484007083,16714,1169,90,93.0,6.5,0.5
484007084,8080,550,88,92.68,6.31,1.01
484007085,9492,528,36,94.39,5.25,0.36
