GEOLEV2,ABOVE_POVERTY_POP,BELOW_POVERTY_POP,ABOVE_POVERTY_PCT,BELOW_POVERTY_PCT
484001001,240935,377593,38.95,61.05
484001002,5669,26751,17.49,82.51
484001003,8225,31119,20.91,79.09
484001004,2176,7797,21.82,78.18
484001005,25929,42671,37.8,62.2
484001006,18672,42987,30.28,69.72
484001007,1134,4048,21.88,78.12
484001008,3456,10620,24.55,75.45
484002001,149284,191719,43.78,56.22
484002002,304773,391972,43.74,56.26
484002004,592742,659683,47.33,52.67
484003001,221885,249884,47.03,52.97
484004001,8790,31144,22.01,77.99
484004003,162607,373317,30.34,69.66
484004004,3705,16378,18.45,81.55
484004005,1258,5779,17.88,82.12
484004006,1460,5864,19.93,80.07
484005001,249,623,28.56,71.44
484005002,34878,62978,35.64,64.36
484005003,5444,11795,31.58,68.42
484005004,5096,12118,29.6,70.4
484005005,342,945,26.57,73.43
484005006,5598,13086,29.96,70.04
484005007,2146,6655,24.38,75.62
484005008,550,1631,25.22,74.78
484005009,10788,30346,26.23,73.77
484005010,19638,35195,35.81,64.19
484005011,1748,7556,18.79,81.21
484005012,436,1009,30.17,69.83
484005013,401,706,36.22,63.78
484005014,1167,5932,16.44,83.56
484005015,292,924,24.01,75.99
484005016,322,1077,23.02,76.98
484005017,22854,50423,31.19,68.81
484005018,67552,96966,41.06,58.94
484005019,2228,4751,31.92,68.08
484005020,14062,36554,27.78,72.22
484005021,1362,3510,27.96,72.04
484005022,6975,12602,35.63,64.37
484005023,1950,6210,23.9,76.1
484005024,8398,25691,24.64,75.36
484005025,38199,64053,37.36,62.64
484005026,718,1901,27.42,72.58
484005027,23612,29752,44.25,55.75
484005028,15955,27946,36.34,63.66
484005029,493,1213,28.9,71.1
484005030,217802,304876,41.67,58.33
484005031,5595,10903,33.91,66.09
484005032,10220,21386,32.34,67.66
484005033,13254,59794,18.14,81.86
484005034,1424,2846,33.35,66.65
484005035,163280,295242,35.61,64.39
484005036,2642,12116,17.9,82.1
484005037,981,2991,24.7,75.3
484005038,3157,7233,30.38,69.62
484006001,63826,79438,44.55,55.45
484006002,47324,66456,41.59,58.41
484006003,5416,10259,34.55,65.45
484006004,4760,9508,33.36,66.64
484006005,7186,13135,35.36,64.64
484006006,1273,3384,27.34,72.66
484006007,1725,4890,26.08,73.92
484006008,31730,51289,38.22,61.78
484006009,44447,47493,48.34,51.66
484007001,864,11594,6.94,93.06
