GEOLEV2,ELEC_YES_HH,ELEC_NO_HH,ELEC_UK_HH,ELEC_YES_PCT,ELEC_NO_PCT,ELEC_UK_PCT
484001001,1023584,1245,0,99.88,0.12,0.0
484001002,50948,343,0,99.33,0.67,0.0
484001003,58015,140,0,99.76,0.24,0.0
484001004,16901,51,0,99.7,0.3,0.0
484001005,129449,401,0,99.69,0.31,0.0
484001006,104121,512,0,99.51,0.49,0.0
484001007,9493,29,0,99.7,0.3,0.0
484001008,22314,125,0,99.44,0.56,0.0
484002001,543790,10408,0,98.12,1.88,0.0
484002002,1034444,2962,140,99.7,0.29,0.01
484002004,2128624,4578,0,99.79,0.21,0.0
484003001,783881,5716,149,99.26,0.72,0.02
484004001,58801,237,0,99.6,0.4,0.0
484004003,790337,7161,15306,97.24,0.88,1.88
484004004,31771,143,0,99.55,0.45,0.0
484004005,8415,198,0,97.7,2.3,0.0
484004006,11304,117,9,98.9,1.02,0.08
484005001,1021,0,0,100.0,0.0,0.0
484005002,162318,332,0,99.8,0.2,0.0
484005003,22987,24,0,99.9,0.1,0.0
484005004,29408,70,0,99.76,0.24,0.0
484005005,1635,7,0,99.57,0.43,0.0
484005006,28855,212,0,99.27,0.73,0.0
484005007,12580,117,0,99.08,0.92,0.0
484005008,3030,12,0,99.61,0.39,0.0
484005009,58912,101,0,99.83,0.17,0.0
484005010,82223,105,0,99.87,0.13,0.0
484005011,11802,38,0,99.68,0.32,0.0
484005012,1618,12,0,99.26,0.74,0.0
484005013,1725,10,0,99.42,0.58,0.0
484005014,9185,162,0,98.27,1.73,0.0
484005015,1575,9,0,99.43,0.57,0.0
484005016,1758,6,0,99.66,0.34,0.0
484005017,117667,52,0,99.96,0.04,0.0
484005018,237427,167,0,99.93,0.07,0.0
484005019,7853,20,0,99.75,0.25,0.0
484005020,71486,42,0,99.94,0.06,0.0
484005021,6527,11,0,99.83,0.17,0.0
484005022,32961,95,0,99.71,0.29,0.0
484005023,9481,25,0,99.74,0.26,0.0
484005024,44224,38,0,99.91,0.09,0.0
