GEOLEV2,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT
484001001,473020,36279,301255,1196,58.27,4.47,37.11,0.15
484001002,17985,3759,16902,58,46.47,9.71,43.67,0.15
484001003,20048,4778,19886,484,44.36,10.57,44.0,1.07
484001004,6337,796,5651,53,49.37,6.2,44.02,0.41
484001005,58759,4266,35553,114,59.54,4.32,36.02,0.12
484001006,42918,5490,30424,141,54.35,6.95,38.52,0.18
484001007,2981,1563,2492,16,42.27,22.16,35.34,0.23
484001008,7512,1420,7903,43,44.51,8.41,46.82,0.25
484002001,251686,32857,163046,1190,56.08,7.32,36.33,0.27
484002002,475071,47604,334600,3055,55.22,5.53,38.89,0.36
484002004,1037891,121369,561887,6722,60.07,7.02,32.52,0.39
484003001,370678,34673,226900,2401,58.41,5.46,35.75,0.38
484004001,24682,2526,19386,261,52.68,5.39,41.37,0.56
484004003,337785,33132,257612,13772,52.59,5.16,40.11,2.14
484004004,12757,1217,11697,98,49.51,4.72,45.39,0.38
484004005,3125,341,3250,44,46.23,5.04,48.08,0.65
484004006,4777,597,3625,16,52.99,6.62,40.21,0.18
484005001,425,55,368,3,49.94,6.46,43.24,0.35
484005002,71513,11477,43134,96,56.66,9.09,34.17,0.08
484005003,7963,2245,7493,47,44.87,12.65,42.22,0.26
484005004,12140,1705,9280,102,52.27,7.34,39.95,0.44
484005005,469,169,637,4,36.67,13.21,49.8,0.31
484005006,9368,1601,11376,55,41.82,7.15,50.79,0.25
484005007,4470,560,4671,13,46.02,5.76,48.09,0.13
484005008,960,254,1116,9,41.04,10.86,47.71,0.38
484005009,21161,3019,21112,46,46.67,6.66,46.57,0.1
484005010,28511,4293,31046,209,44.51,6.7,48.46,0.33
484005011,3854,1199,4133,14,41.89,13.03,44.92,0.15
484005012,599,108,608,0,45.55,8.21,46.24,0.0
484005013,588,104,576,0,46.37,8.2,45.43,0.0
484005014,3386,970,2906,10,46.56,13.34,39.96,0.14
484005015,587,95,555,3,47.34,7.66,44.76,0.24
484005016,543,186,702,6,37.79,12.94,48.85,0.42
484005017,47653,6401,38381,216,51.43,6.91,41.43,0.23
484005018,91883,10776,83669,130,49.28,5.78,44.87,0.07
484005019,3145,269,2806,10,50.48,4.32,45.04,0.16
484005020,23562,6875,25412,98,42.11,12.29,45.42,0.18
484005021,2198,493,2652,4,41.11,9.22,49.6,0.07
484005022,10402,2165,12712,41,41.08,8.55,50.21,0.16
484005023,3134,627,3406,15,43.64,8.73,47.42,0.21
484005024,17983,2679,14665,38,50.85,7.58,41.47,0.11
484005025,71100,9824,56249,139,51.78,7.15,40.96,0.1
484005026,965,287,1283,7,37.96,11.29,50.47,0.28
484005027,53016,5448,34378,304,56.92,5.85,36.91,0.33
484005028,24211,5488,21831,36,46.95,10.64,42.34,0.07
484005029,887,168,884,4,45.65,8.65,45.5,0.21
484005030,361446,55931,274213,1562,52.15,8.07,39.56,0.23
484005031,8934,1185,9298,42,45.91,6.09,47.78,0.22
484005032,14501,3095,16054,11,43.08,9.19,47.69,0.03
484005033,36185,7195,34129,142,46.6,9.27,43.95,0.18
484005034,2417,295,2077,16,50.3,6.14,43.23,0.33
484005035,295199,48390,229531,1070,51.41,8.43,39.97,0.19
484005036,6332,2543,6701,54,40.51,16.27,42.87,0.35
484005037,2285,305,2117,10,48.44,6.47,44.88,0.21
484005038,5121,1021,4105,2,49.97,9.96,40.05,0.02
484006001,97561,13029,64728,550,55.47,7.41,36.8,0.31
484006002,78152,6078,42486,247,61.55,4.79,33.46,0.19
484006003,10060,2174,5300,50,57.21,12.36,30.14,0.28
484006004,9536,1592,5869,41,55.97,9.34,34.45,0.24
484006005,13621,1325,10616,52,53.18,5.17,41.45,0.2
484006006,2573,293,1722,16,55.89,6.36,37.4,0.35
484006007,4360,828,2750,28,54.73,10.39,34.52,0.35
484006008,54159,5306,30867,155,59.85,5.86,34.11,0.17
484006009,73497,6636,43753,105,59.28,5.35,35.29,0.08
484007001,6098,662,6252,107,46.48,5.05,47.66,0.82
484007002,56064,5791,47765,293,51.01,5.27,43.46,0.27
484007003,9472,967,9780,161,46.48,4.74,47.99,0.79
484007004,8694,4247,12521,246,33.82,16.52,48.7,0.96
484007005,5790,1833,9423,53,33.86,10.72,55.11,0.31
484007006,9533,1728,12144,52,40.64,7.37,51.77,0.22
484007007,4372,544,3177,13,53.94,6.71,39.19,0.16
484007008,13210,2374,13676,91,45.01,8.09,46.59,0.31
484007009,17390,2079,13226,92,53.04,6.34,40.34,0.28
484007010,1919,769,2643,8,35.94,14.4,49.5,0.15
484007011,4745,2001,7868,90,32.27,13.61,53.51,0.61
484007012,25108,3014,19761,95,52.33,6.28,41.19,0.2
484007013,10794,2327,12610,64,41.85,9.02,48.89,0.25
484007014,5850,1642,9006,60,35.33,9.92,54.39,0.36
484007015,13870,4375,18647,309,37.28,11.76,50.12,0.83
484007016,5642,1219,6770,69,41.18,8.9,49.42,0.5
484007017,27986,4830,32483,547,42.5,7.34,49.33,0.83
484007018,3232,287,3467,24,46.11,4.09,49.46,0.34
484007019,71517,5894,50697,274,55.71,4.59,39.49,0.21
484007020,17187,2199,17543,215,46.27,5.92,47.23,0.58
484007021,6729,1596,8289,187,40.05,9.5,49.34,1.11
484007022,5305,1500,6767,45,38.96,11.02,49.7,0.33
484007023,29408,7085,31586,122,43.12,10.39,46.31,0.18
484007024,3099,315,4713,38,37.95,3.86,57.72,0.47
484007025,2295,341,2815,10,42.03,6.24,51.55,0.18
484007026,13018,6601,16937,319,35.3,17.9,45.93,0.87
484007028,2107,325,2397,26,43.4,6.69,49.37,0.54
484007029,1303,792,1959,3,32.12,19.52,48.29,0.07
484007030,11582,1607,14165,88,42.21,5.86,51.62,0.32
484007031,36987,8966,43955,123,41.08,9.96,48.82,0.14
484007032,10446,1684,10628,64,45.77,7.38,46.57,0.28
484007033,1578,677,2925,48,30.18,12.95,55.95,0.92
484007034,29721,3026,26503,490,49.75,5.07,44.36,0.82
484007035,5108,553,5176,96,46.72,5.06,47.34,0.88
484007036,1874,695,2886,9,34.3,12.72,52.82,0.16
484007037,12772,1876,13260,266,45.33,6.66,47.06,0.94
484007038,6844,1141,8268,114,41.82,6.97,50.52,0.7
484007039,7462,1164,10113,108,39.59,6.18,53.66,0.57
484007040,20963,2495,17601,144,50.88,6.06,42.72,0.35
484007041,15586,1495,17300,88,45.22,4.34,50.19,0.26
484007042,3216,446,4134,86,40.8,5.66,52.45,1.09
484007043,3839,376,3922,18,47.08,4.61,48.09,0.22
484007044,10432,920,10461,87,47.63,4.2,47.77,0.4
484007045,2054,166,2363,29,44.54,3.6,51.24,0.63
484007046,14416,1247,15669,69,45.91,3.97,49.9,0.22
484007047,7084,772,8654,34,42.82,4.67,52.31,0.21
484007048,6957,1249,8291,84,41.96,7.53,50.0,0.51
484007049,10584,1916,10155,56,46.6,8.44,44.71,0.25
484007050,2143,120,1910,8,51.26,2.87,45.68,0.19
484007051,16773,2597,15428,178,47.96,7.43,44.11,0.51
484007052,43672,6988,60155,292,39.31,6.29,54.14,0.26
484007053,2248,557,3042,10,38.38,9.51,51.94,0.17
484007054,10943,2061,8379,41,51.08,9.62,39.11,0.19
484007055,2109,425,1903,14,47.38,9.55,42.75,0.31
484007056,2071,1551,4690,14,24.87,18.63,56.33,0.17
484007057,24135,4499,26530,222,43.58,8.12,47.9,0.4
