GEOLEV2,INT_NO_HH,INT_YES_HH,INT_UK_HH,INT_NO_PCT,INT_YES_PCT,INT_UK_PCT
484001001,308715,716114,0,30.12,69.88,0.0
484001002,31428,19835,28,61.27,38.67,0.05
484001003,28697,29458,0,49.35,50.65,0.0
484001004,11707,5245,0,69.06,30.94,0.0
484001005,49519,80295,36,38.14,61.84,0.03
484001006,50172,54461,0,47.95,52.05,0.0
484001007,6686,2826,10,70.22,29.68,0.11
484001008,12074,10365,0,53.81,46.19,0.0
484002001,188795,365235,168,34.07,65.9,0.03
484002002,258327,779070,149,24.9,75.09,0.01
484002004,519524,1613094,584,24.35,75.62,0.03
484003001,244155,545055,536,30.92,69.02,0.07
484004001,39942,19087,9,67.65,32.33,0.02
484004003,362662,434660,15482,44.62,53.48,1.9
484004004,21940,9974,0,68.75,31.25,0.0
484004005,6107,2473,33,70.9,28.71,0.38
484004006,8741,2680,9,76.47,23.45,0.08
484005001,899,122,0,88.05,11.95,0.0
484005002,81053,81597,0,49.83,50.17,0.0
484005003,11819,11192,0,51.36,48.64,0.0
484005004,19494,9984,0,66.13,33.87,0.0
484005005,1374,268,0,83.68,16.32,0.0
484005006,18570,10472,25,63.89,36.03,0.09
484005007,9013,3684,0,70.99,29.01,0.0
484005008,2184,858,0,71.79,28.21,0.0
484005009,37519,21476,18,63.58,36.39,0.03
484005010,33536,48792,0,40.73,59.27,0.0
484005011,9908,1923,9,83.68,16.24,0.08
484005012,1283,347,0,78.71,21.29,0.0
484005013,1413,322,0,81.44,18.56,0.0
484005014,7066,2281,0,75.6,24.4,0.0
484005015,1368,216,0,86.36,13.64,0.0
484005016,1577,187,0,89.4,10.6,0.0
484005017,74180,43420,119,63.01,36.88,0.1
484005018,80445,157077,72,33.86,66.11,0.03
484005019,2955,4918,0,37.53,62.47,0.0
484005020,33583,37935,10,46.95,53.04,0.01
484005021,5052,1486,0,77.27,22.73,0.0
484005022,15252,17779,25,46.14,53.78,0.08
484005023,6313,3183,10,66.41,33.48,0.11
484005024,29460,14802,0,66.56,33.44,0.0
484005025,51739,122875,0,29.63,70.37,0.0
484005026,2405,814,0,74.71,25.29,0.0
484005027,46024,74850,0,38.08,61.92,0.0
484005028,26943,37811,0,41.61,58.39,0.0
484005029,2157,314,0,87.29,12.71,0.0
484005030,254497,622160,658,29.01,70.92,0.08
484005031,15437,9280,0,62.45,37.55,0.0
484005032,16029,26075,108,37.97,61.77,0.26
484005033,61376,39355,0,60.93,39.07,0.0
484005034,4488,2035,0,68.8,31.2,0.0
484005035,249981,467792,150,34.82,65.16,0.02
484005036,17297,2805,12,85.99,13.95,0.06
484005037,4391,1794,0,70.99,29.01,0.0
484005038,7448,5627,12,56.91,43.0,0.09
484006001,86874,130301,15,40.0,59.99,0.01
484006002,42171,112120,48,27.32,72.65,0.03
484006003,11971,9560,24,55.54,44.35,0.11
484006004,9433,11308,0,45.48,54.52,0.0
484006005,12085,18950,15,38.92,61.03,0.05
484006006,2796,2807,0,49.9,50.1,0.0
484006007,7231,2962,0,70.94,29.06,0.0
484006008,63716,51590,0,55.26,44.74,0.0
484006009,27160,122513,0,18.15,81.85,0.0
484007001,16660,1295,0,92.79,7.21,0.0
484007002,100301,43060,0,69.96,30.04,0.0
484007003,23221,3392,0,87.25,12.75,0.0
484007004,31399,4597,0,87.23,12.77,0.0
484007005,23011,1410,0,94.23,5.77,0.0
484007006,28823,2826,0,91.07,8.93,0.0
484007007,11187,88,0,99.22,0.78,0.0
484007008,34468,5249,0,86.78,13.22,0.0
484007009,30437,10489,0,74.37,25.63,0.0
484007010,6433,947,0,87.17,12.83,0.0
484007011,18240,1897,0,90.58,9.42,0.0
484007012,42055,22397,0,65.25,34.75,0.0
484007013,30119,6822,0,81.53,18.47,0.0
484007014,22736,1475,22,93.82,6.09,0.09
484007015,41999,7891,0,84.18,15.82,0.0
484007016,15881,1537,0,91.18,8.82,0.0
484007017,66296,20161,0,76.68,23.32,0.0
484007018,9251,595,0,93.96,6.04,0.0
484007019,122758,42150,0,74.44,25.56,0.0
484007020,46371,3241,0,93.47,6.53,0.0
484007021,18862,3222,0,85.41,14.59,0.0
484007022,21664,222,0,98.99,1.01,0.0
484007023,100124,1602,16,98.41,1.57,0.02
484007024,13580,39,2,99.7,0.29,0.01
484007025,6592,771,0,89.53,10.47,0.0
484007026,55036,679,6,98.77,1.22,0.01
484007028,6033,119,0,98.07,1.93,0.0
484007029,4275,1123,0,79.2,20.8,0.0
484007030,32235,4374,0,88.05,11.95,0.0
484007031,132670,4104,0,97.0,3.0,0.0
484007032,24043,6777,0,78.01,21.99,0.0
484007033,6836,379,0,94.75,5.25,0.0
484007034,70631,10137,0,87.45,12.55,0.0
484007035,12869,1495,0,89.59,10.41,0.0
484007036,7003,679,0,91.16,8.84,0.0
484007037,30013,6278,0,82.7,17.3,0.0
484007038,22752,163,0,99.29,0.71,0.0
484007039,27013,809,0,97.09,2.91,0.0
484007040,37747,14629,12,72.05,27.92,0.02
484007041,44756,1500,24,96.71,3.24,0.05
484007042,10075,1228,0,89.14,10.86,0.0
484007043,9371,1533,0,85.94,14.06,0.0
484007044,27935,977,16,96.57,3.38,0.06
484007045,5622,550,0,91.09,8.91,0.0
484007046,28860,11984,0,70.66,29.34,0.0
484007047,23171,1641,35,93.25,6.6,0.14
484007048,18924,2823,0,87.02,12.98,0.0
484007049,34994,981,3,97.26,2.73,0.01
484007050,4618,590,0,88.67,11.33,0.0
484007051,40009,5926,0,87.1,12.9,0.0
484007052,147672,7638,4,95.08,4.92,0.0
484007053,7297,583,0,92.6,7.4,0.0
484007054,25770,2326,0,91.72,8.28,0.0
484007055,5181,700,0,88.1,11.9,0.0
484007056,13571,36,0,99.74,0.26,0.0
484007057,37769,38404,0,49.58,50.42,0.0
484007058,4647,76,2,98.35,1.61,0.04
484007059,294654,11823,25,96.13,3.86,0.01
484007060,13092,899,0,93.57,6.43,0.0
484007061,109583,32426,0,77.17,22.83,0.0
484007062,15836,2577,8,85.97,13.99,0.04
484007063,3580,397,0,90.02,9.98,0.0
484007064,53834,933,4,98.29,1.7,0.01
484007065,115808,15707,0,88.06,11.94,0.0
484007066,26088,128,26,99.41,0.49,0.1
484007067,11462,677,0,94.42,5.58,0.0
484007068,23569,8132,0,74.35,25.65,0.0
484007069,40332,10637,0,79.13,20.87,0.0
484007070,11727,527,0,95.7,4.3,0.0
484007071,26893,2156,0,92.58,7.42,0.0
484007072,57531,4581,8,92.61,7.37,0.01
484007074,33788,10948,12,75.51,24.47,0.03
484007075,27393,1324,0,95.39,4.61,0.0
484007076,29655,199,0,99.33,0.67,0.0
484007077,59385,4203,0,93.39,6.61,0.0
484007078,129162,85638,0,60.13,39.87,0.0
484007079,23847,17870,0,57.16,42.84,0.0
484007080,28876,1245,11648,69.13,2.98,27.89
484007081,56970,1584,0,97.29,2.71,0.0
484007082,14908,499,0,96.76,3.24,0.0
484007083,15974,3098,20,83.67,16.23,0.1
484007084,7072,1410,0,83.38,16.62,0.0
484007085,8872,2010,0,81.53,18.47,0.0
484007086,17718,7831,0,69.35,30.65,0.0
484007087,35498,5765,0,86.03,13.97,0.0
484007088,1560,748,0,67.59,32.41,0.0
484007089,203485,145366,32,58.32,41.67,0.01
484007090,4196,243,0,94.53,5.47,0.0
484007093,47475,618,5,98.7,1.28,0.01
484007094,47179,2170,77,95.45,4.39,0.16
484007095,80469,2753,0,96.69,3.31,0.0
484007096,60237,31342,24,65.76,34.22,0.03
484007097,6347,857,0,88.1,11.9,0.0
484007098,73732,8922,0,89.21,10.79,0.0
484007099,33799,3905,6,89.63,10.36,0.02
484007100,214771,384265,246,35.84,64.12,0.04
484007101,35524,5463,0,86.67,13.33,0.0
484007102,25304,4925,0,83.71,16.29,0.0
484007103,14940,1591,0,90.38,9.62,0.0
484007104,12619,3242,0,79.56,20.44,0.0
484007105,64817,2273,6,96.6,3.39,0.01
484007106,69569,11458,9,85.85,14.14,0.01
484007107,88633,20421,0,81.27,18.73,0.0
484007108,38176,1892,0,95.28,4.72,0.0
484007109,7366,162,0,97.85,2.15,0.0
484007110,42389,2519,7,94.38,5.61,0.02
484008001,9256,5292,0,63.62,36.38,0.0
484008002,14967,10995,0,57.65,42.35,0.0
484008003,4673,3814,0,55.06,44.94,0.0
484008004,13319,8041,12,62.32,37.62,0.06
484008005,16068,9973,0,61.7,38.3,0.0
484008006,2232,3552,9,38.53,61.32,0.16
484008007,68859,7915,66,89.61,10.3,0.09
484008008,20082,2884,0,87.44,12.56,0.0
484008009,20421,4710,0,81.26,18.74,0.0
484008010,23725,25647,0,48.05,51.95,0.0
484008011,6793,1279,0,84.16,15.84,0.0
484008012,7352,4376,0,62.69,37.31,0.0
484008013,1584,450,0,77.88,22.12,0.0
484008014,1006,224,0,81.79,18.21,0.0
484008015,1917,1776,1,51.89,48.08,0.03
484008016,82241,96714,136,45.92,54.0,0.08
484008017,3730,1357,8,73.21,26.63,0.16
484008018,217100,717069,70,23.24,76.75,0.01
484008019,5539,646,0,89.56,10.44,0.0
484008020,56225,93578,80,37.51,62.43,0.05
484008021,1316,1136,0,53.67,46.33,0.0
484008022,4452,2188,0,67.05,32.95,0.0
484008023,2220,1562,0,58.7,41.3,0.0
484008024,5689,1311,0,81.27,18.73,0.0
484008025,959,1457,0,39.69,60.31,0.0
484008026,2712,1466,0,64.91,35.09,0.0
484008027,46985,3225,48,93.49,6.42,0.1
484008028,7512,681,0,91.69,8.31,0.0
484008029,24274,11012,0,68.79,31.21,0.0
484008030,48440,67392,63,41.8,58.15,0.05
484008031,632,194,0,76.51,23.49,0.0
484008032,1740,3448,0,33.54,66.46,0.0
484008033,9367,1552,0,85.79,14.21,0.0
484008034,19298,21410,0,47.41,52.59,0.0
484008035,478725,1025548,0,31.82,68.18,0.0
484008036,3531,1447,2,70.9,29.06,0.04
484008037,1592,2391,0,39.97,60.03,0.0
484008038,20399,4656,0,81.42,18.58,0.0
484008039,1273,19,2,98.38,1.47,0.15
484008040,1051,127,0,89.22,10.78,0.0
484008041,2441,300,0,89.06,10.94,0.0
484008042,3013,1250,0,70.68,29.32,0.0
484008043,20047,24557,29,44.92,55.02,0.06
484008044,6832,279,0,96.08,3.92,0.0
484008045,4333,95,0,97.85,2.15,0.0
484008046,12478,10080,0,55.32,44.68,0.0
484008047,2354,391,0,85.76,14.24,0.0
484008048,25993,39427,13,39.72,60.26,0.02
484008049,7753,346,8,95.63,4.27,0.1
484008050,9638,14819,30,39.36,60.52,0.12
484008051,2981,2108,0,58.58,41.42,0.0
484008052,4896,2764,6,63.87,36.06,0.08
484008053,8460,8216,0,50.73,49.27,0.0
484008054,1211,867,0,58.28,41.72,0.0
484008055,1660,507,2,76.53,23.37,0.09
484008056,1701,985,0,63.33,36.67,0.0
484008057,2818,2172,6,56.41,43.47,0.12
484008058,6493,5073,0,56.14,43.86,0.0
484008059,3249,158,0,95.36,4.64,0.0
484008060,15357,14360,0,51.68,48.32,0.0
484008061,4928,374,12,92.74,7.04,0.23
484008062,752,691,6,51.9,47.69,0.41
484008063,16253,684,0,95.96,4.04,0.0
484008064,6471,34,0,99.48,0.52,0.0
484008065,3840,916,0,80.74,19.26,0.0
484009001,905406,4485600,1695,16.79,83.18,0.03
484009002,563533,1686893,240,25.04,74.95,0.01
484009003,52163,194371,70,21.15,78.82,0.03
484009004,72237,80370,0,47.34,52.66,0.0
484009005,106421,282823,42,27.34,72.65,0.01
484009006,161853,532477,0,23.31,76.69,0.0
484010001,39476,19455,20,66.96,33.0,0.03
484010002,2868,1411,12,66.84,32.88,0.28
484010003,2539,1536,3,62.26,37.67,0.07
484010004,22246,12527,0,63.97,36.03,0.0
484010005,251623,431252,160,36.84,63.14,0.02
484010006,7940,2082,0,79.23,20.77,0.0
484010007,181074,189147,23,48.91,51.09,0.01
484010008,18591,17713,0,51.21,48.79,0.0
484010009,8488,1322,0,86.52,13.48,0.0
