GEOLEV2,AFRDES_YES_POP,AFRDES_NO_POP,AFRDES_UK_POP,AFRDES_YES_PCT,AFRDES_NO_PCT,AFRDES_UK_PCT
484001001,11776,1015891,207,1.15,98.83,0.02
484001002,154,51320,0,0.3,99.7,0.0
484001003,226,57929,0,0.39,99.61,0.0
484001004,71,16926,0,0.42,99.58,0.0
484001005,3305,126530,24,2.55,97.44,0.02
484001006,686,104136,4,0.65,99.34,0.0
484001007,1517,8035,0,15.88,84.12,0.0
484001008,59,22402,0,0.26,99.74,0.0
484002001,17058,539755,861,3.06,96.79,0.15
484002002,13823,1026886,1686,1.33,98.51,0.16
484002004,54843,2080671,4214,2.56,97.24,0.2
484003001,22767,768875,1782,2.87,96.91,0.22
484004001,3728,55455,9,6.3,93.69,0.02
484004003,25778,774229,15608,3.16,94.93,1.91
484004004,161,31753,0,0.5,99.5,0.0
484004005,26,8651,6,0.3,99.63,0.07
484004006,200,11254,0,1.75,98.25,0.0
484005001,2,1016,4,0.2,99.41,0.39
484005002,827,161917,50,0.51,99.46,0.03
484005003,40,22981,8,0.17,99.79,0.03
484005004,980,28372,136,3.32,96.22,0.46
484005005,14,1624,5,0.85,98.84,0.3
484005006,108,28967,27,0.37,99.54,0.09
484005007,10,12663,24,0.08,99.73,0.19
484005008,11,3035,2,0.36,99.57,0.07
484005009,111,58902,0,0.19,99.81,0.0
484005010,298,82040,0,0.36,99.64,0.0
484005011,903,10947,23,7.61,92.2,0.19
484005012,12,1622,0,0.73,99.27,0.0
484005013,0,1734,1,0.0,99.94,0.06
484005014,37,9310,0,0.4,99.6,0.0
484005015,0,1584,2,0.0,99.87,0.13
484005016,3,1758,3,0.17,99.66,0.17
484005017,813,116983,56,0.69,99.26,0.05
484005018,1390,236187,243,0.58,99.31,0.1
484005019,19,7852,2,0.24,99.73,0.03
484005020,1907,69678,19,2.66,97.31,0.03
484005021,15,6523,0,0.23,99.77,0.0
484005022,65,32983,8,0.2,99.78,0.02
484005023,9,9491,6,0.09,99.84,0.06
484005024,179,44080,26,0.4,99.54,0.06
