GEOLEV2,INDIG_YES_POP,INDIG_NO_POP,INDIG_UK_POP,INDIG_YES_PCT,INDIG_NO_PCT,INDIGS_UK_PCT
484001001,65768,912268,212,6.72,93.26,0.02
484001002,1643,46632,0,3.4,96.6,0.0
484001003,2308,52564,147,4.19,95.54,0.27
484001004,1030,14905,24,6.45,93.4,0.15
484001005,7966,114554,24,6.5,93.48,0.02
484001006,3277,95086,14,3.33,96.65,0.01
484001007,599,8269,0,6.75,93.25,0.0
484001008,609,20573,0,2.88,97.12,0.0
484002001,89228,441185,1636,16.77,82.92,0.31
484002002,48948,954007,1637,4.87,94.96,0.16
484002004,147503,1895647,6830,7.2,92.47,0.33
484003001,89817,664111,2965,11.87,87.74,0.39
484004001,50141,5938,129,89.21,10.56,0.23
484004003,330518,427879,16356,42.66,55.23,2.11
484004004,26443,4083,14,86.58,13.37,0.05
484004005,96,8125,48,1.16,98.26,0.58
484004006,8989,1909,0,82.48,17.52,0.0
484005001,3,977,2,0.31,99.49,0.2
484005002,1247,152472,68,0.81,99.14,0.04
484005003,254,21561,19,1.16,98.75,0.09
484005004,1032,26911,161,3.67,95.76,0.57
484005005,13,1544,0,0.83,99.17,0.0
484005006,29,27505,42,0.11,99.74,0.15
484005007,10,11933,28,0.08,99.68,0.23
484005008,6,2888,1,0.21,99.76,0.03
484005009,739,54132,207,1.34,98.28,0.38
484005010,211,77143,170,0.27,99.51,0.22
484005011,305,10987,9,2.7,97.22,0.08
484005012,76,1490,0,4.85,95.15,0.0
484005013,0,1616,1,0.0,99.94,0.06
484005014,53,8801,3,0.6,99.37,0.03
484005015,3,1496,0,0.2,99.8,0.0
484005016,9,1683,1,0.53,99.41,0.06
484005017,2745,109536,153,2.44,97.42,0.14
484005018,7536,217272,926,3.34,96.25,0.41
484005019,56,7449,9,0.75,99.13,0.12
484005020,663,66825,63,0.98,98.93,0.09
484005021,21,6250,0,0.33,99.67,0.0
484005022,397,30942,10,1.27,98.7,0.03
484005023,218,8778,26,2.42,97.3,0.29
