GEOLEV2,RURAL_HH,URBAN_HH,RURAL_PCT,URBAN_PCT
484001001,77398,950476,7.53,92.47
484001002,30337,21137,58.94,41.06
484001003,24414,33741,41.98,58.02
484001004,7666,9331,45.1,54.9
484001005,34669,95190,26.7,73.3
484001006,27650,77176,26.38,73.62
484001007,5317,4235,55.66,44.34
484001008,13084,9377,58.25,41.75
484002001,62349,495325,11.18,88.82
484002002,76035,966360,7.29,92.71
484002004,36005,2103723,1.68,98.32
484003001,76129,717295,9.59,90.41
484004001,13371,45821,22.59,77.41
484004003,180292,635323,22.11,77.89
484004004,8432,23482,26.42,73.58
484004005,5724,2959,65.92,34.08
484004006,2462,8992,21.49,78.51
484005001,1022,0,100.0,0.0
484005002,2854,159940,1.75,98.25
484005003,1533,21496,6.66,93.34
484005004,12401,17087,42.05,57.95
484005005,1643,0,100.0,0.0
484005006,2812,26290,9.66,90.34
484005007,2750,9947,21.66,78.34
484005008,3048,0,100.0,0.0
484005009,26562,32451,45.01,54.99
484005010,5692,76646,6.91,93.09
484005011,6279,5594,52.88,47.12
484005012,1634,0,100.0,0.0
484005013,1735,0,100.0,0.0
484005014,5779,3568,61.83,38.17
484005015,1586,0,100.0,0.0
484005016,1764,0,100.0,0.0
484005017,39582,78270,33.59,66.41
484005018,781,237039,0.33,99.67
484005019,1138,6735,14.45,85.55
484005020,2835,68769,3.96,96.04
484005021,2144,4394,32.79,67.21
484005022,1252,31804,3.79,96.21
484005023,6199,3307,65.21,34.79
484005024,7986,36299,18.03,81.97
484005025,1423,173515,0.81,99.19
484005026,3219,0,100.0,0.0
484005027,7037,113885,5.82,94.18
484005028,2614,62162,4.04,95.96
484005029,2471,0,100.0,0.0
484005030,15530,862216,1.77,98.23
484005031,1134,23607,4.58,95.42
484005032,2059,40153,4.88,95.12
484005033,36194,64626,35.9,64.1
484005034,1609,4920,24.64,75.36
484005035,21019,697506,2.93,97.07
484005036,16942,3246,83.92,16.08
484005037,953,5235,15.4,84.6
484005038,3255,9855,24.83,75.17
484006001,18235,199722,8.37,91.63
484006002,10083,145090,6.5,93.5
484006003,9603,11999,44.45,55.55
484006004,6653,14159,31.97,68.03
484006005,8132,23051,26.08,73.92
484006006,3132,2483,55.78,44.22
484006007,4422,5806,43.23,56.77
484006008,10170,105857,8.77,91.23
484006009,2237,147466,1.49,98.51
484007001,10061,7933,55.91,44.09
484007002,47097,96698,32.75,67.25
484007003,21781,5044,81.2,18.8
484007004,24425,11685,67.64,32.36
484007005,19928,4512,81.54,18.46
484007006,23758,7977,74.86,25.14
484007007,5219,6056,46.29,53.71
484007008,16037,24290,39.77,60.23
484007009,11131,29941,27.1,72.9
484007010,7388,0,100.0,0.0
484007011,20155,0,100.0,0.0
484007012,29270,35247,45.37,54.63
484007013,19981,17003,54.03,45.97
484007014,12543,11696,51.75,48.25
484007015,15001,34926,30.05,69.95
484007016,14139,3331,80.93,19.07
484007017,33535,53169,38.68,61.32
484007018,7123,2723,72.34,27.66
484007019,34113,131536,20.59,79.41
484007020,33536,16333,67.25,32.75
484007021,15364,6778,69.39,30.61
484007022,21916,0,100.0,0.0
484007023,97573,4346,95.74,4.26
484007024,4099,9528,30.08,69.92
484007025,3640,3724,49.43,50.57
484007026,51350,4414,92.08,7.92
484007028,3106,3049,50.46,49.54
484007029,1350,4052,24.99,75.01
484007030,25400,11329,69.16,30.84
484007031,116528,20262,85.19,14.81
484007032,20170,10714,65.31,34.69
484007033,7215,0,100.0,0.0
484007034,52561,28296,65.0,35.0
484007035,5677,8779,39.27,60.73
484007036,7684,0,100.0,0.0
484007037,17700,18629,48.72,51.28
484007038,22927,0,100.0,0.0
484007039,24645,3225,88.43,11.57
484007040,16003,36532,30.46,69.54
484007041,32375,13967,69.86,30.14
484007042,8838,2468,78.17,21.83
484007043,6715,4246,61.26,38.74
484007044,24308,4675,83.87,16.13
484007045,6179,0,100.0,0.0
484007046,28696,12367,69.88,30.12
484007047,11023,13879,44.27,55.73
484007048,15405,6342,70.84,29.16
484007049,32165,3913,89.15,10.85
484007050,5233,0,100.0,0.0
484007051,23884,22211,51.81,48.19
484007052,126506,29096,81.3,18.7
484007053,7898,0,100.0,0.0
484007054,17150,10950,61.03,38.97
484007055,3686,2197,62.66,37.34
484007056,13607,0,100.0,0.0
484007057,30499,45759,39.99,60.01
484007058,0,4766,0.0,100.0
484007059,231068,76962,75.01,24.99
484007060,8737,5284,62.31,37.69
484007061,80992,61086,57.01,42.99
484007062,15391,3078,83.33,16.67
484007063,3985,0,100.0,0.0
484007064,40761,14021,74.41,25.59
484007065,80167,51622,60.83,39.17
484007066,17507,8762,66.65,33.35
484007067,12190,0,100.0,0.0
484007068,17711,14135,55.61,44.39
484007069,27433,23738,53.61,46.39
484007070,12263,0,100.0,0.0
484007071,21291,7808,73.17,26.83
484007072,26997,35152,43.44,56.56
484007074,25007,19812,55.8,44.2
484007075,9682,19117,33.62,66.38
484007076,21980,7874,73.62,26.38
484007077,59408,4357,93.17,6.83
484007078,32049,182815,14.92,85.08
484007079,29590,12202,70.8,29.2
484007080,38401,3482,91.69,8.31
484007081,33976,24897,57.71,42.29
484007082,15414,0,100.0,0.0
484007083,12172,6920,63.75,36.25
484007084,8498,0,100.0,0.0
484007085,2326,8565,21.36,78.64
484007086,4588,21037,17.9,82.1
484007087,19933,21656,47.93,52.07
484007088,2308,0,100.0,0.0
484007089,91436,258886,26.1,73.9
484007090,4439,0,100.0,0.0
484007093,39843,8268,82.81,17.19
484007094,24683,24797,49.88,50.12
484007095,49961,33301,60.0,40.0
484007096,30416,61285,33.17,66.83
484007097,3785,3425,52.5,47.5
484007098,60360,22619,72.74,27.26
484007099,26919,10884,71.21,28.79
484007100,13167,589438,2.19,97.81
484007101,25232,15789,61.51,38.49
484007102,21365,8923,70.54,29.46
484007103,5885,10663,35.56,64.44
484007104,8983,6985,56.26,43.74
484007105,36311,30947,53.99,46.01
484007106,27888,53321,34.34,65.66
484007107,41955,67386,38.37,61.63
484007108,30450,9676,75.89,24.11
484007109,3884,3644,51.59,48.41
484007110,24993,20218,55.28,44.72
484008001,3842,10781,26.27,73.73
484008002,7310,18652,28.16,71.84
484008003,3628,4859,42.75,57.25
484008004,1141,20236,5.34,94.66
484008005,4098,21981,15.71,84.29
484008006,5793,0,100.0,0.0
484008007,60014,17049,77.88,22.12
484008008,9157,13936,39.65,60.35
484008009,4677,20454,18.61,81.39
484008010,7366,42039,14.91,85.09
484008011,8105,0,100.0,0.0
484008012,4902,6890,41.57,58.43
484008013,2034,0,100.0,0.0
484008014,1230,0,100.0,0.0
484008015,3696,0,100.0,0.0
484008016,39738,139769,22.14,77.86
484008017,5101,0,100.0,0.0
484008018,11817,923433,1.26,98.74
484008019,6199,0,100.0,0.0
484008020,10599,139705,7.05,92.95
484008021,2458,0,100.0,0.0
484008022,4652,2004,69.89,30.11
484008023,3793,0,100.0,0.0
484008024,2397,4605,34.23,65.77
484008025,2448,0,100.0,0.0
484008026,4178,0,100.0,0.0
484008027,42054,8220,83.65,16.35
484008028,4808,3387,58.67,41.33
484008029,17319,18039,48.98,51.02
484008030,2535,113662,2.18,97.82
484008031,826,0,100.0,0.0
484008032,1980,3212,38.14,61.86
484008033,8624,2312,78.86,21.14
484008034,4734,36040,11.61,88.39
484008035,8223,1497491,0.55,99.45
484008036,4980,0,100.0,0.0
484008037,4030,0,100.0,0.0
484008038,7798,17279,31.1,68.9
484008039,1296,0,100.0,0.0
484008040,1180,0,100.0,0.0
484008041,2744,0,100.0,0.0
484008042,1976,2289,46.33,53.67
484008043,7481,37250,16.72,83.28
484008044,7163,0,100.0,0.0
484008045,4447,0,100.0,0.0
484008046,16282,6373,71.87,28.13
484008047,2753,0,100.0,0.0
484008048,3421,62076,5.22,94.78
484008049,8123,0,100.0,0.0
484008050,4269,20228,17.43,82.57
484008051,5089,0,100.0,0.0
484008052,7695,0,100.0,0.0
484008053,8352,8423,49.79,50.21
484008054,2081,0,100.0,0.0
484008055,2192,0,100.0,0.0
484008056,2697,0,100.0,0.0
484008057,600,4404,11.99,88.01
484008058,1693,9873,14.64,85.36
484008059,3414,0,100.0,0.0
484008060,16042,13755,53.84,46.16
484008061,5320,0,100.0,0.0
484008062,1449,0,100.0,0.0
484008063,17029,0,100.0,0.0
484008064,6512,0,100.0,0.0
484008065,4768,0,100.0,0.0
484009001,4102,5409701,0.08,99.92
484009002,12723,2246125,0.56,99.44
484009003,1206,245579,0.49,99.51
484009004,19369,133313,12.69,87.31
484009005,5157,386811,1.32,98.68
484009006,7468,687839,1.07,98.93
484010001,31261,27729,52.99,47.01
484010002,4295,0,100.0,0.0
484010003,4078,0,100.0,0.0
