YEAR,TOTAL_POP,GEOLEV2,EDU_LESS_PRIM_POP,EDU_PRIM_POP,EDU_SEC_POP,EDU_UNI_POP,EDU_UK_POP,EDU_LESS_PRIM_PCT,EDU_PRIM_PCT,EDU_SEC_PCT,EDU_UNI_PCT,EDU_UK_PCT,ELEC_YES_HH,ELEC_NO_HH,ELEC_UK_HH,ELEC_YES_PCT,ELEC_NO_PCT,ELEC_UK_PCT,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT,INT_NO_HH,INT_YES_HH,INT_UK_HH,INT_NO_PCT,INT_YES_PCT,INT_UK_PCT,AFRDES_YES_POP,AFRDES_NO_POP,AFRDES_UK_POP,AFRDES_YES_PCT,AFRDES_NO_PCT,AFRDES_UK_PCT,INDIG_YES_POP,INDIG_NO_POP,INDIG_UK_POP,INDIG_YES_PCT,INDIG_NO_PCT,INDIGS_UK_PCT,OWNED_HH,UNOWNED_HH,OWNED_UK_HH,OWNED_PCT,UNOWNED_PCT,OWNED_UK_PCT,ABOVE_POVERTY_POP,BELOW_POVERTY_POP,ABOVE_POVERTY_PCT,BELOW_POVERTY_PCT,RURAL_HH,URBAN_HH,RURAL_PCT,URBAN_PCT
2020,125515554,484001001,223973,396322,209050,147455,1448,22.9,40.51,21.37,15.07,0.15,1023584,1245,0,99.88,0.12,0.0,473020,36279,301255,1196,58.27,4.47,37.11,0.15,308715,716114,0,30.12,69.88,0.0,11776.0,1015891.0,207.0,1.15,98.83,0.02,65768.0,912268.0,212.0,6.72,93.26,0.02,712265,312564,0,69.5,30.5,0.0,349829,121709,74.19,25.81,77398,950476,7.53,92.47
2020,125515554,484001002,15980,23779,6551,1907,58,33.1,49.26,13.57,3.95,0.12,50948,343,0,99.33,0.67,0.0,17985,3759,16902,58,46.47,9.71,43.67,0.15,31428,19835,28,61.27,38.67,0.05,154.0,51320.0,0.0,0.3,99.7,0.0,1643.0,46632.0,0.0,3.4,96.6,0.0,43069,8222,0,83.97,16.03,0.0,10445,7534,58.1,41.9,30337,21137,58.94,41.06
2020,125515554,484001003,18892,27660,6458,1943,66,34.34,50.27,11.74,3.53,0.12,58015,140,0,99.76,0.24,0.0,20048,4778,19886,484,44.36,10.57,44.0,1.07,28697,29458,0,49.35,50.65,0.0,226.0,57929.0,0.0,0.39,99.61,0.0,2308.0,52564.0,147.0,4.19,95.54,0.27,37839,20316,0,65.07,34.93,0.0,11485,8563,57.29,42.71,24414,33741,41.98,58.02
2020,125515554,484001004,4813,7961,2525,638,22,30.16,49.88,15.82,4.0,0.14,16901,51,0,99.7,0.3,0.0,6337,796,5651,53,49.37,6.2,44.02,0.41,11707,5245,0,69.06,30.94,0.0,71.0,16926.0,0.0,0.42,99.58,0.0,1030.0,14905.0,24.0,6.45,93.4,0.15,13988,2964,0,82.52,17.48,0.0,4083,2248,64.49,35.51,7666,9331,45.1,54.9
2020,125515554,484001005,35344,47933,22332,16752,183,28.84,39.11,18.22,13.67,0.15,129449,401,0,99.69,0.31,0.0,58759,4266,35553,114,59.54,4.32,36.02,0.12,49519,80295,36,38.14,61.84,0.03,3305.0,126530.0,24.0,2.55,97.44,0.02,7966.0,114554.0,24.0,6.5,93.48,0.02,90189,39661,0,69.46,30.54,0.0,43792,14956,74.54,25.46,34669,95190,26.7,73.3
2020,125515554,484001006,28634,43348,18411,7785,199,29.11,44.06,18.71,7.91,0.2,104121,512,0,99.51,0.49,0.0,42918,5490,30424,141,54.35,6.95,38.52,0.18,50172,54461,0,47.95,52.05,0.0,686.0,104136.0,4.0,0.65,99.34,0.0,3277.0,95086.0,14.0,3.33,96.65,0.01,77780,26853,0,74.34,25.66,0.0,26740,16134,62.37,37.63,27650,77176,26.38,73.62
2020,125515554,484001007,2546,4660,1225,425,12,28.71,52.55,13.81,4.79,0.14,9493,29,0,99.7,0.3,0.0,2981,1563,2492,16,42.27,22.16,35.34,0.23,6686,2826,10,70.22,29.68,0.11,1517.0,8035.0,0.0,15.88,84.12,0.0,599.0,8269.0,0.0,6.75,93.25,0.0,7560,1962,0,79.4,20.6,0.0,2041,940,68.47,31.53,5317,4235,55.66,44.34
2020,125515554,484001008,6986,10351,3275,552,18,32.98,48.87,15.46,2.61,0.08,22314,125,0,99.44,0.56,0.0,7512,1420,7903,43,44.51,8.41,46.82,0.25,12074,10365,0,53.81,46.19,0.0,59.0,22402.0,0.0,0.26,99.74,0.0,609.0,20573.0,0.0,2.88,97.12,0.0,18413,4026,0,82.06,17.94,0.0,4970,2542,66.16,33.84,13084,9377,58.25,41.75
2020,125515554,484002001,139970,217569,113570,59702,1238,26.31,40.89,21.35,11.22,0.23,543790,10408,0,98.12,1.88,0.0,251686,32857,163046,1190,56.08,7.32,36.33,0.27,188795,365235,168,34.07,65.9,0.03,17058.0,539755.0,861.0,3.06,96.79,0.15,89228.0,441185.0,1636.0,16.77,82.92,0.31,359449,194691,58,64.86,35.13,0.01,185032,65719,73.79,26.21,62349,495325,11.18,88.82
2020,125515554,484002002,213394,428495,226765,132806,3132,21.24,42.65,22.57,13.22,0.31,1034444,2962,140,99.7,0.29,0.01,475071,47604,334600,3055,55.22,5.53,38.89,0.36,258327,779070,149,24.9,75.09,0.01,13823.0,1026886.0,1686.0,1.33,98.51,0.16,48948.0,954007.0,1637.0,4.87,94.96,0.16,767704,269558,284,73.99,25.98,0.03,394785,78070,83.49,16.51,76035,966360,7.29,92.71
2020,125515554,484002004,460485,970004,458795,150885,9811,22.46,47.32,22.38,7.36,0.48,2128624,4578,0,99.79,0.21,0.0,1037891,121369,561887,6722,60.07,7.02,32.52,0.39,519524,1613094,584,24.35,75.62,0.03,54843.0,2080671.0,4214.0,2.56,97.24,0.2,147503.0,1895647.0,6830.0,7.2,92.47,0.33,1293671,838919,612,60.64,39.33,0.03,872727,155044,84.91,15.09,36005,2103723,1.68,98.32
2020,125515554,484003001,183109,309875,174725,87065,2119,24.19,40.94,23.08,11.5,0.28,783881,5716,149,99.26,0.72,0.02,370678,34673,226900,2401,58.41,5.46,35.75,0.38,244155,545055,536,30.92,69.02,0.07,22767.0,768875.0,1782.0,2.87,96.91,0.22,89817.0,664111.0,2965.0,11.87,87.74,0.39,557598,231606,542,70.6,29.33,0.07,290087,77597,78.9,21.1,76129,717295,9.59,90.41
2020,125515554,484004001,18461,20930,11264,5484,69,32.84,37.24,20.04,9.76,0.12,58801,237,0,99.6,0.4,0.0,24682,2526,19386,261,52.68,5.39,41.37,0.56,39942,19087,9,67.65,32.33,0.02,3728.0,55455.0,9.0,6.3,93.69,0.02,50141.0,5938.0,129.0,89.21,10.56,0.23,51386,7652,0,87.04,12.96,0.0,9714,14968,39.36,60.64,13371,45821,22.59,77.41
2020,125515554,484004003,221902,304097,136866,96099,15789,28.64,39.25,17.67,12.4,2.04,790337,7161,15306,97.24,0.88,1.88,337785,33132,257612,13772,52.59,5.16,40.11,2.14,362662,434660,15482,44.62,53.48,1.9,25778.0,774229.0,15608.0,3.16,94.93,1.91,330518.0,427879.0,16356.0,42.66,55.23,2.11,606875,190623,15306,74.66,23.45,1.88,181932,155641,53.89,46.11,180292,635323,22.11,77.89
2020,125515554,484004004,8924,12546,5969,3073,28,29.22,41.08,19.54,10.06,0.09,31771,143,0,99.55,0.45,0.0,12757,1217,11697,98,49.51,4.72,45.39,0.38,21940,9974,0,68.75,31.25,0.0,161.0,31753.0,0.0,0.5,99.5,0.0,26443.0,4083.0,14.0,86.58,13.37,0.05,29490,2424,0,92.4,7.6,0.0,5294,7441,41.57,58.43,8432,23482,26.42,73.58
2020,125515554,484004005,2849,4020,1006,372,22,34.45,48.62,12.17,4.5,0.27,8415,198,0,97.7,2.3,0.0,3125,341,3250,44,46.23,5.04,48.08,0.65,6107,2473,33,70.9,28.71,0.38,26.0,8651.0,6.0,0.3,99.63,0.07,96.0,8125.0,48.0,1.16,98.26,0.58,6793,1820,0,78.87,21.13,0.0,914,2158,29.75,70.25,5724,2959,65.92,34.08
2020,125515554,484004006,3879,4324,2014,672,9,35.59,39.68,18.48,6.17,0.08,11304,117,9,98.9,1.02,0.08,4777,597,3625,16,52.99,6.62,40.21,0.18,8741,2680,9,76.47,23.45,0.08,200.0,11254.0,0.0,1.75,98.25,0.0,8989.0,1909.0,0.0,82.48,17.52,0.0,10345,1076,9,90.51,9.41,0.08,1851,2926,38.75,61.25,2462,8992,21.49,78.51
2020,125515554,484005001,235,535,175,34,3,23.93,54.48,17.82,3.46,0.31,1021,0,0,100.0,0.0,0.0,425,55,368,3,49.94,6.46,43.24,0.35,899,122,0,88.05,11.95,0.0,2.0,1016.0,4.0,0.2,99.41,0.39,3.0,977.0,2.0,0.31,99.49,0.2,811,210,0,79.43,20.57,0.0,238,187,56.0,44.0,1022,0,100.0,0.0
2020,125515554,484005002,37476,80326,30193,5696,96,24.37,52.23,19.63,3.7,0.06,162318,332,0,99.8,0.2,0.0,71513,11477,43134,96,56.66,9.09,34.17,0.08,81053,81597,0,49.83,50.17,0.0,827.0,161917.0,50.0,0.51,99.46,0.03,1247.0,152472.0,68.0,0.81,99.14,0.04,126354,36296,0,77.68,22.32,0.0,58120,13252,81.43,18.57,2854,159940,1.75,98.25
2020,125515554,484005003,5446,11632,3730,947,79,24.94,53.27,17.08,4.34,0.36,22987,24,0,99.9,0.1,0.0,7963,2245,7493,47,44.87,12.65,42.22,0.26,11819,11192,0,51.36,48.64,0.0,40.0,22981.0,8.0,0.17,99.79,0.03,254.0,21561.0,19.0,1.16,98.75,0.09,15082,7929,0,65.54,34.46,0.0,6305,1653,79.23,20.77,1533,21496,6.66,93.34
2020,125515554,484005004,8028,13384,4025,2503,164,28.57,47.62,14.32,8.91,0.58,29408,70,0,99.76,0.24,0.0,12140,1705,9280,102,52.27,7.34,39.95,0.44,19494,9984,0,66.13,33.87,0.0,980.0,28372.0,136.0,3.32,96.22,0.46,1032.0,26911.0,161.0,3.67,95.76,0.57,22111,7367,0,75.01,24.99,0.0,8587,3207,72.81,27.19,12401,17087,42.05,57.95
